SUPPLIER_NAME,SUPPLIER_CONTACT_NAME,CONTACT_EMAIL_NAME,CATEGORY,REFERENCE_NUMBER,SIZE,%NW,FREEZING_TYPE,NW,NW+GLAZING,PACKING
"PERUVIAN PRODUCTS FISHING AND AGRICULTURE SAC",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"DONGSHAN XINFU AQUATIC PROCESSING CO., LTD",,,"LOLIGO CHINENSIS","135 FROZEN LOLIGO CHINENSIS WHOLE CLEANED TREATED TUBE PEELED,GUTTED, WINGS ON, TIP ON, TENTACLES BEAK AND EYES OUT, NECK MEAT ON, TENTACLES HALF PUT INTO TUBES FOR IQF. TENTACLES AT SIDE FOR BLOCKS.",-,30%,IQF,,,4.8kg(6x800g)
"DONGSHAN XINFU AQUATIC PROCESSING CO., LTD",,,"LOLIGO CHINENSIS","135 FROZEN LOLIGO CHINENSIS WHOLE CLEANED TREATED TUBE PEELED,GUTTED, WINGS ON, TIP ON, TENTACLES BEAK AND EYES OUT, NECK MEAT ON, TENTACLES HALF PUT INTO TUBES FOR IQF. TENTACLES AT SIDE FOR BLOCKS.",-,30%,IQF,,,4.8kg(6x800g)
"DONGSHAN XINFU AQUATIC PROCESSING CO., LTD",,,"LOLIGO CHINENSIS","135 FROZEN LOLIGO CHINENSIS WHOLE CLEANED TREATED TUBE PEELED,GUTTED, WINGS ON, TIP ON, TENTACLES BEAK AND EYES OUT, NECK MEAT ON, TENTACLES HALF PUT INTO TUBES FOR IQF. TENTACLES AT SIDE FOR BLOCKS.",20/40pcs/kg,30%,IQF,,,4.8kg(12x400g)
"DONGSHAN XINFU AQUATIC PROCESSING CO., LTD",,,"LOLIGO CHINENSIS","135 FROZEN LOLIGO CHINENSIS WHOLE CLEANED TREATED TUBE PEELED,GUTTED, WINGS ON, TIP ON, TENTACLES BEAK AND EYES OUT, NECK MEAT ON, TENTACLES HALF PUT INTO TUBES FOR IQF. TENTACLES AT SIDE FOR BLOCKS.",10/20pcs/kg,NULL,BLOCK,NULL,,9.6kg(12x800g)
"DONGSHAN XINFU AQUATIC PROCESSING CO., LTD",,,"LOLIGO CHINENSIS","135 FROZEN LOLIGO CHINENSIS WHOLE CLEANED TREATED TUBE PEELED,GUTTED, WINGS ON, TIP ON, TENTACLES BEAK AND EYES OUT, NECK MEAT ON, TENTACLES HALF PUT INTO TUBES FOR IQF. TENTACLES AT SIDE FOR BLOCKS.",20/40pcs/kg,NULL,BLOCK,NULL,,9.6kg(12x800g)
"DONGSHAN XINFU AQUATIC PROCESSING CO., LTD",,,"LOLIGO CHINENSIS","135 FROZEN LOLIGO CHINENSIS WHOLE CLEANED TREATED TUBE PEELED,GUTTED, WINGS ON, TIP ON, TENTACLES BEAK AND EYES OUT, NECK MEAT ON, TENTACLES HALF PUT INTO TUBES FOR IQF. TENTACLES AT SIDE FOR BLOCKS.",-,NULL,BLOCK,NULL,,9.6kg(6x1.6kg)
"DONGSHAN XINFU AQUATIC PROCESSING CO., LTD",,,"LOLIGO CHINENSIS","135 FROZEN LOLIGO CHINENSIS WHOLE CLEANED TREATED TUBE PEELED,GUTTED, WINGS ON, TIP ON, TENTACLES BEAK AND EYES OUT, NECK MEAT ON, TENTACLES HALF PUT INTO TUBES FOR IQF. TENTACLES AT SIDE FOR BLOCKS.",NULL,NULL,IQF,NULL,,4.5Kg(750gx6)
"DONGSHAN XINFU AQUATIC PROCESSING CO., LTD",,,"LOLIGO CHINENSIS","135 FROZEN LOLIGO CHINENSIS WHOLE CLEANED TREATED TUBE PEELED,GUTTED, WINGS ON, TIP ON, TENTACLES BEAK AND EYES OUT, NECK MEAT ON, TENTACLES HALF PUT INTO TUBES FOR IQF. TENTACLES AT SIDE FOR BLOCKS.",-,NULL,BLOCK,NULL,,9.6Kg(6x1.6Kg)
"DONGSHAN XINFU AQUATIC PROCESSING CO., LTD",,,"LOLIGO CHINENSIS","135 FROZEN LOLIGO CHINENSIS WHOLE CLEANED TREATED TUBE PEELED,GUTTED, WINGS ON, TIP ON, TENTACLES BEAK AND EYES OUT, NECK MEAT ON, TENTACLES HALF PUT INTO TUBES FOR IQF. TENTACLES AT SIDE FOR BLOCKS.",10/20pcs/kg,NULL,IQF,NULL,,4.8kg(6x800g)
